Agency,ACS,Correction,DCAS,DDC,DEP,DHS,DOB,DOH,DOT,DPR,DSNY,FDNY,HRA,NYPD,All
2014-Q1,451,357,147,109,398,146,77,386,424,789,2251,857,812,2516,8258
2014-Q2,379,413,158,117,385,142,79,387,392,1236,1901,465,656,1475,6733
2014-Q3,387,246,169,83,340,60,82,466,263,1301,412,731,528,1799,5642
2014-Q4,616,406,232,138,604,203,114,888,443,3146,511,476,1565,2049,9395
2015-Q1,605,629,181,193,484,177,106,545,371,644,2627,867,743,2317,8397
2015-Q2,437,317,178,83,280,161,115,413,232,750,446,281,748,946,4092
2015-Q3,52,610,189,247,424,261,156,703,382,1367,707,1271,826,2815,8488
2015-Q4,348,461,244,242,397,360,182,545,405,702,466,537,861,2342,6400
2016-Q1,189,1012,106,160,317,146,129,339,349,461,2874,670,471,1917,7356
2016-Q2,254,198,73,100,211,103,62,253,359,640,303,275,310,543,2848
2016-Q3,591,1353,269,166,437,233,167,545,318,1220,471,774,662,1818,6208
2016-Q4,722,1401,317,149,476,377,289,933,540,838,454,863,878,2173,7345
